x,y,ux,uy,velocity_magnitude
4,11,0.280216,0.000000,0.280216
4,12,0.294185,-0.000000,0.294185
4,13,0.306907,0.000000,0.306907
4,14,0.318464,-0.000000,0.318464
4,15,0.328937,0.000000,0.328937
4,16,0.338399,-0.000000,0.338399
4,17,0.346921,0.000000,0.346921
4,18,0.354571,-0.000000,0.354571
4,19,0.361411,0.000000,0.361411
4,20,0.367499,-0.000000,0.367499
4,21,0.372889,0.000000,0.372889
4,22,0.377632,-0.000000,0.377632
4,23,0.381771,0.000000,0.381771
4,24,0.385348,-0.000000,0.385348
4,25,0.388398,0.000000,0.388398
4,26,0.390954,-0.000000,0.390954
4,27,0.393043,0.000000,0.393043
4,28,0.394687,-0.000000,0.394687
4,29,0.395904,0.000000,0.395904
4,30,0.396708,-0.000000,0.396708
4,31,0.397107,0.000000,0.397107
4,32,0.397107,-0.000000,0.397107
4,33,0.396708,0.000000,0.396708
4,34,0.395904,-0.000000,0.395904
4,35,0.394687,0.000000,0.394687
4,36,0.393043,-0.000000,0.393043
4,37,0.390954,0.000000,0.390954
4,38,0.388398,-0.000000,0.388398
4,39,0.385348,0.000000,0.385348
4,40,0.381771,-0.000000,0.381771
4,41,0.377632,0.000000,0.377632
4,42,0.372889,-0.000000,0.372889
4,43,0.367499,0.000000,0.367499
4,44,0.361411,-0.000000,0.361411
4,45,0.354571,0.000000,0.354571
4,46,0.346921,-0.000000,0.346921
4,47,0.338399,0.000000,0.338399
4,48,0.328937,-0.000000,0.328937
4,49,0.318464,0.000000,0.318464
4,50,0.306907,-0.000000,0.306907
4,51,0.294185,0.000000,0.294185
4,52,0.280216,-0.000000,0.280216
4,53,0.264914,0.000000,0.264914
4,54,0.248191,-0.000000,0.248191
4,55,0.229952,0.000000,0.229952
4,56,0.210103,-0.000000,0.210103
4,57,0.188546,0.000000,0.188546
4,58,0.165179,-0.000000,0.165179
4,59,0.139901,0.000000,0.139901
4,60,0.112608,-0.000000,0.112608
4,61,0.083192,0.000000,0.083192
4,62,0.051546,-0.000000,0.051546
