x,y,ux,uy,velocity_magnitude
4,10,0.05631829,0.00000000,0.05631829
4,11,0.05583032,0.00000000,0.05583032
4,12,0.05529529,0.00000000,0.05529529
4,13,0.05471303,0.00000000,0.05471303
4,14,0.05408338,0.00000000,0.05408338
4,15,0.05340615,0.00000000,0.05340615
4,16,0.05268114,0.00000000,0.05268114
4,17,0.05190814,0.00000000,0.05190814
4,18,0.05108694,0.00000000,0.05108694
4,19,0.05021728,0.00000000,0.05021728
4,20,0.04929893,0.00000000,0.04929893
4,21,0.04833163,0.00000000,0.04833163
4,22,0.04731510,0.00000000,0.04731510
4,23,0.04624907,0.00000000,0.04624907
4,24,0.04513325,0.00000000,0.04513325
4,25,0.04396732,0.00000000,0.04396732
4,26,0.04275099,0.00000000,0.04275099
4,27,0.04148393,0.00000000,0.04148393
4,28,0.04016580,0.00000000,0.04016580
4,29,0.03879627,0.00000000,0.03879627
4,30,0.03737498,0.00000000,0.03737498
4,31,0.03590158,0.00000000,0.03590158
4,32,0.03437569,0.00000000,0.03437569
4,33,0.03279696,0.00000000,0.03279696
4,34,0.03116499,0.00000000,0.03116499
4,35,0.02947939,0.00000000,0.02947939
4,36,0.02773978,0.00000000,0.02773978
4,37,0.02594574,0.00000000,0.02594574
4,38,0.02409688,0.00000000,0.02409688
4,39,0.02219278,0.00000000,0.02219278
4,40,0.02023302,0.00000000,0.02023302
4,41,0.01821719,0.00000000,0.01821719
4,42,0.01614485,0.00000000,0.01614485
4,43,0.01401558,0.00000000,0.01401558
4,44,0.01182895,0.00000000,0.01182895
4,45,0.00958451,0.00000000,0.00958451
4,46,0.00728184,0.00000000,0.00728184
4,47,0.00492049,0.00000000,0.00492049
4,48,0.00250002,0.00000000,0.00250002
4,49,0.00002000,0.00000000,0.00002000
5,0,0.05863487,0.00000000,0.05863487
5,1,0.05861176,0.00000000,0.05861176
5,2,0.05854243,0.00000000,0.05854243
5,3,0.05842686,0.00000000,0.05842686
5,4,0.05826500,0.00000000,0.05826500
5,5,0.05805682,0.00000000,0.05805682
5,6,0.05780225,0.00000000,0.05780225
5,7,0.05750121,0.00000000,0.05750121
5,8,0.05715361,0.00000000,0.05715361
5,9,0.05675934,0.00000000,0.05675934
5,10,0.05631829,0.00000000,0.05631829
5,11,0.05583032,0.00000000,0.05583032
5,12,0.05529529,0.00000000,0.05529529
5,13,0.05471303,0.00000000,0.05471303
5,14,0.05408338,0.00000000,0.05408338
5,15,0.05340615,0.00000000,0.05340615
5,16,0.05268114,0.00000000,0.05268114
5,17,0.05190814,0.00000000,0.05190814
5,18,0.05108694,0.00000000,0.05108694
5,19,0.05021728,0.00000000,0.05021728
5,20,0.04929893,0.00000000,0.04929893
5,21,0.04833163,0.00000000,0.04833163
5,22,0.04731510,0.00000000,0.04731510
5,23,0.04624907,0.00000000,0.04624907
